req_id,priority,domain,module,phase,status,habigoal_path,issue_number,notes,requirement
CHK-005,Must,daily_checkin,M1,1,done,"lib/concern-flags.ts, services/concern-flag.service.ts, app/api/concerns/route.ts",#84,Configurable thresholds and coach action sync,The system shall flag concerning responses according to configured thresholds.
CHK-006,Should,daily_checkin,M1,1,done,"lib/offline-check-in-sync.ts, app/api/check-ins/sync/route.ts",,IndexedDB offline queue and batch sync,The system shall support offline capture and later synchronisation.
TRN-001,Must,training_plan,M2,1,done,"repositories/training-sessions.repository.ts, app/api/training-sessions/route.ts",#83,Training sessions persisted,Coaches shall be able to create session plans.
TRN-002,Must,training_plan,M2,1,done,app/api/training-sessions/route.ts,#83,assignedAthleteIds and assignedTeamId on sessions,"Coaches shall be able to assign sessions to athletes groups or teams."
TRN-003,Must,training_plan,M2,1,done,app/api/training-sessions/route.ts,#185,Six session categories enumerated,"The system shall support session categories such as strength tactical endurance speed recovery and match."
TRN-004,Must,training_plan,M2,1,done,app/api/session-plans/rpe/route.ts,#80,RPE collection supported,The system shall support RPE collection after training.
TRN-005,Should,training_plan,M2,1,done,repositories/training-sessions.repository.ts,#80,getLoadComparison on training-sessions API,The system shall compare planned load to completed load.
TRN-006,Should,training_plan,M2,1,done,"repositories/microcycles.repository.ts, app/api/microcycles/route.ts",,Microcycle planning API and UI,The system shall support microcycle planning.
WER-001,Must,wearable_integration,M3,2,done,app/api/oauth/wearable/callback/route.ts,,OAuth connect/disconnect,The system shall support secure device connection and disconnection.
WER-002,Should,wearable_integration,M3,2,done,lib/wearable-ingestion.ts,,Raw payloads stored on all ingestion paths,The system shall store raw device payloads for audit and reprocessing.
WER-003,Must,wearable_integration,M3,2,done,"lib/normalisers/, lib/platform-init.ts",#78,Garmin Whoop Oura Polar Apple Health normalisers,The system shall normalise wearable metrics into a common schema.
WER-004,Must,wearable_integration,M3,2,done,app/[locale]/dashboard/wearables/page.tsx,#186,Live devices API wired in UI,The system shall indicate sync status and last sync time.
WER-005,Must,wearable_integration,M3,2,done,lib/wearable-ingestion.ts,#187,Graceful missing data and consent gates,The system shall handle missing data gracefully.
WER-006,Must,wearable_integration,M3,2,done,"repositories/consent.repository.ts, components/consent/ConsentModal.tsx",,Consent per purpose including wearable,The system shall support device-specific permissions and consent notices.
VIS-001,Must,media_vision,M7,6,done,app/api/athletes/[id]/media/upload/route.ts,#188,Multipart video/image upload,Athletes or staff shall be able to upload photos and videos.
VIS-002,Must,media_vision,M7,6,done,"lib/media-storage.ts, repositories/media-asset.repository.ts",#189,S3/R2/local object storage abstraction,The system shall store media in object storage and metadata in the database.
VIS-003,Must,media_vision,M7,6,done,"services/media-processing.service.ts, services/vision-ai.service.ts",#190,Event bus + queue on upload,The system shall create AI processing jobs for new media.
VIS-004,Must,media_vision,M7,6,done,lib/vision/frame-extraction.ts,#191,Frame timestamps extracted and stored,The system shall extract frames from videos for analysis.
VIS-005,Must,media_vision,M7,6,partial,services/vision-ai.service.ts,#192,Pose landmark stub; production ONNX pending,The system shall generate pose landmarks where model confidence is sufficient.
VIS-006,Must,media_vision,M7,6,done,services/vision-ai.service.ts,#193,Quality gates reject poor input,The system shall avoid generating conclusions where input quality is poor.
VIS-007,Must,media_vision,M7,6,done,"app/[locale]/dashboard/athletes/[id]/vision/page.tsx",#194,Confidence and limitations shown in UI,The system shall show confidence and limitations for each analysis.
REC-001,Must,ai_recommendation,M6,5,done,lib/engines/recommendation.engine.ts,#81,Recommendations include reason field,Recommendations shall include the reason for the recommendation.
REC-002,Must,ai_recommendation,M6,5,done,lib/engines/recommendation.engine.ts,#195,Confidence on structured recommendations,Recommendations shall include confidence level.
REC-003,Must,ai_recommendation,M6,5,done,app/api/coach-actions/route.ts,#84,Accept ignore override statuses,"Coaches shall be able to accept ignore or override recommendations."
REC-004,Should,ai_recommendation,M6,5,done,app/api/coach-actions/route.ts,,Audit events on override/ignore/accept,Overrides shall be logged for audit and model improvement.
REC-005,Must,ai_recommendation,M6,5,done,"lib/engines/recommendation.engine.ts, messages/en.json",#196,Advisory disclaimer enforced,Recommendations shall not be presented as medical diagnosis.
REC-006,Must,ai_recommendation,M6,5,done,services/twin-pipeline.service.ts,#197,humanReviewRequired coach actions for minors,Recommendations involving minors shall support human review workflows.
RPT-001,Must,reporting,M9,8,done,services/reporting.service.ts,,Athlete reports generated,The system shall generate athlete reports.
RPT-002,Must,reporting,M9,8,done,app/api/reports/team/route.ts,#198,Team report API,The system shall generate coach/team reports.
RPT-003,Should,reporting,M9,8,done,lib/pdf-service.ts,,PDF export exists,Reports shall be exportable to PDF.
RPT-004,Must,reporting,M9,8,done,app/api/reports/athlete/[id]/route.ts,#199,Auth on report routes,Reports shall respect user permissions.
RPT-005,Must,reporting,M9,8,done,services/reporting.service.ts,#200,Date range and sourceDataNotes,Reports shall include date range and source data notes.
RPT-006,Must,reporting,M9,8,done,services/reporting.service.ts,#201,aiGenerated flag and marked commentary,Reports shall clearly mark AI-generated commentary.
DTW-001,Must,digital_twin,M4,3,done,types/athlete-twin.ts,,5-dimension twin schema,"The system shall maintain a Digital Twin with physical performance technical recovery and cognitive dimensions per athlete."
DTW-002,Must,digital_twin,M4,3,done,"services/twin-pipeline.service.ts, lib/twin-updater.ts",#202,Check-in wearables vision engine outputs wired,"The Digital Twin shall be updated from daily check-ins device data and AI engine outputs."
SEC-001,Must,security,M13,0,done,"middleware.ts, app/api/oauth/callback/route.ts, docs/sso-setup.md",#203,OIDC via DoneIsBetter SSO when HABIGOAL_ENFORCE_AUTH=true,The system shall use OAuth2/OIDC authentication with role-based authorisation and tenant isolation.
SEC-002,Must,security,M13,0,done,"lib/audit.ts, app/api/audit/events/route.ts",#204,Audit event repository and API,The system shall maintain audit logs for security and activity events.
PRV-001,Must,privacy,M13,0,done,"app/api/athletes/[id]/export/route.ts, app/api/athletes/[id]/erase/route.ts",#205,GDPR export and erase routes,The system shall support data export and deletion per data subject rights.
PRV-002,Must,privacy,M13,0,done,"lib/age-consent.ts, app/api/athletes/[id]/consents/route.ts",#206,Age-based guardian consent rules,Youth deployments shall support parent/guardian approval and age-based access rules.
AI-001,Must,ai_governance,M13,0,done,lib/engines/recommendation.engine.ts,#207,Advisory disclaimer and humanReviewRequired,AI recommendations shall be advisory only and subject to human review; no fully automated legal/significant-effect decisions.
AI-002,Must,ai_governance,M13,0,done,"lib/model-registry.ts, app/api/ai/models/route.ts",#208,Model registry with purpose inputs limitations,Each AI model shall be versioned with purpose inputs outputs limitations and monitoring plan.
ENG-001,Must,ai_engine,M6,5,done,lib/engines/readiness.engine.ts,#78,Scored readiness with factors and confidence,Readiness engine shall produce scored readiness with contributing factors and confidence.
ENG-002,Must,ai_engine,M6,5,done,lib/engines/recovery.engine.ts,#209,Wearable and subjective merge,Recovery engine shall combine subjective and wearable recovery signals.
ENG-003,Must,ai_engine,M6,5,done,lib/engines/injury-risk.engine.ts,#84,Advisory risk indicators not diagnoses,"Injury risk engine shall produce risk indicators not medical diagnoses."
QUE-001,Must,local_ai,M5,4,partial,"lib/queue-worker.ts, app/api/admin/queue/process/route.ts",#210,Queue worker stub; local cluster deployment pending,"Processing queue shall support multiple job types priorities and horizontal worker nodes."
API-001,Should,api,M12,10,done,"app/api/openapi/route.ts, lib/openapi-spec.ts",,OpenAPI 3.1 at /api/openapi,API contracts shall be documented using OpenAPI with JSON payloads.
ROL-001,Must,roles,M1,1,done,"lib/permissions.ts, lib/access.ts, middleware.ts",#211,Eight roles with capability matrix,"The system shall support roles athlete coach parent performance coach physio analyst club management system admin."
